Doctor ID,Waiting Time Per Appointment
442,1
442,2
442,3
442,4
442,5
442,6
442,7
442,8
442,9
442,10
442,11
442,12
442,13
442,14
442,15
442,16
442,17
442,18
442,19
442,20
442,21
442,22
442,23
442,24
442,25
442,26
442,27
442,28
442,29
442,30
442,31
442,33
442,34
442,35
442,36
442,40
442,41
442,45
442,48
442,50
442,55
442,59
442,60
442,74
442,100
442,101
443,1
443,2
443,3
443,4
443,5
443,6
443,7
443,8
443,9
443,10
443,11
443,12
443,13
443,14
443,15
443,16
443,17
443,18
443,19
443,20
443,21
443,22
443,23
443,24
443,25
443,26
443,27
443,28
443,29
443,30
443,31
443,33
443,34
443,35
443,36
443,37
443,38
443,39
443,40
443,41
443,42
443,43
443,44
443,45
443,46
443,48
443,49
443,51
443,52
443,53
443,60
443,63
443,64
443,65
443,67
443,71
443,73
443,74
443,80
443,104
443,126
443,292
444,1
444,2
444,3
444,4
444,5
444,6
444,7
444,8
444,9
444,10
444,11
444,12
444,13
444,14
444,15
444,16
444,17
444,18
444,19
444,20
444,21
444,22
444,23
444,24
444,25
444,26
444,27
444,28
444,30
444,31
444,34
444,35
444,36
444,37
444,38
444,41
444,42
444,43
444,44
444,45
444,46
444,47
444,48
444,49
444,50
444,51
444,52
444,53
444,54
444,57
444,58
444,65
444,67
444,68
444,77
444,78
444,81
444,89
444,105
444,148
445,1
445,2
445,3
445,4
445,5
445,6
445,7
445,8
445,9
445,10
445,11
445,12
445,13
445,14
445,15
445,16
445,17
445,18
445,19
445,20
445,21
445,22
445,23
445,24
445,25
445,26
445,27
445,28
445,29
445,30
445,31
445,32
445,33
445,34
445,35
445,36
445,37
445,38
445,39
445,40
445,41
445,42
445,43
445,44
445,46
445,47
445,48
445,50
445,51
445,53
445,55
445,59
445,60
445,62
445,68
445,69
445,74
445,76
445,78
455,1
455,2
455,3
455,4
455,5
455,6
455,7
455,8
455,9
455,10
455,11
455,12
455,13
455,14
455,15
455,16
455,17
455,18
455,19
455,20
455,21
455,22
455,23
455,24
455,25
455,26
455,27
455,28
455,29
455,30
455,31
455,33
455,34
455,35
455,38
455,39
455,41
455,43
455,44
455,45
455,47
455,66
465,11
466,5
469,3
469,4
469,12
479,1
479,2
479,3
479,4
479,5
479,6
479,7
479,8
479,9
479,10
479,11
479,12
479,13
479,14
479,15
479,16
479,17
479,18
479,19
479,20
479,21
479,22
479,23
479,24
479,25
479,26
479,27
479,28
479,29
479,30
479,31
479,32
479,33
479,34
479,35
479,37
479,38
479,39
479,40
479,42
479,43
479,44
479,50
479,51
479,53
479,54
479,55
479,65
479,68
482,1
482,2
482,3
482,4
482,5
482,6
482,7
482,8
482,9
482,10
482,11
482,12
482,13
482,14
482,15
482,16
482,17
482,18
482,19
482,20
482,21
482,22
482,23
482,24
482,25
482,26
482,27
482,28
482,29
482,30
482,31
482,32
482,33
482,34
482,35
482,37
482,38
482,39
482,40
482,41
482,42
482,43
482,47
482,49
482,52
482,54
482,56
482,57
482,59
482,60
482,61
482,62
482,64
482,65
482,66
482,68
482,73
482,78
482,90
482,128
483,13
483,19
484,1
484,2
484,3
484,4
484,5
484,6
484,7
484,8
484,9
484,10
484,11
484,12
484,13
484,14
484,15
484,16
484,17
484,18
484,19
484,20
484,21
484,22
484,23
484,24
484,25
484,26
484,27
484,28
484,29
484,31
484,32
484,33
484,34
484,35
484,36
484,37
484,38
484,39
484,41
484,42
484,43
484,44
484,45
484,46
484,47
484,48
484,49
484,51
484,52
484,54
484,55
484,56
484,57
484,58
484,60
484,63
484,65
484,66
484,67
484,72
484,79
484,81
484,86
484,87
484,93
484,103
484,125
484,179
487,1
487,2
487,3
487,4
487,5
487,6
487,7
487,8
487,9
487,10
487,11
487,12
487,13
487,14
487,15
487,16
487,17
487,18
487,19
487,20
487,21
487,22
487,23
487,24
487,25
487,26
487,27
487,28
487,29
487,30
487,31
487,32
487,33
487,36
487,37
487,38
487,39
487,40
487,43
487,49
487,53
487,59
487,68
487,77
487,83
487,98
487,161
489,1
489,2
489,3
489,4
489,5
489,6
489,7
489,8
489,9
489,10
489,11
489,12
489,13
489,14
489,15
489,16
489,17
489,18
489,19
489,20
489,21
489,22
489,23
489,24
489,26
489,28
489,29
489,30
489,31
489,32
489,34
489,35
489,36
489,40
489,42
489,43
489,44
489,46
489,51
489,53
489,55
489,63
490,1
490,2
490,3
490,4
490,5
490,6
490,7
490,8
490,9
490,10
490,11
490,12
490,13
490,14
490,15
490,16
490,17
490,18
490,19
490,20
490,21
490,22
490,23
490,24
490,25
490,26
490,27
490,28
490,29
490,30
490,31
490,32
490,33
490,34
490,35
490,36
490,37
490,38
490,39
490,40
490,41
490,42
490,43
490,45
490,49
490,53
490,56
490,57
490,79
490,97
490,118
490,139
490,151
490,154
491,1
491,2
491,3
491,4
491,5
491,6
491,7
491,8
491,9
491,10
491,11
491,12
491,13
491,14
491,15
491,16
491,17
491,18
491,19
491,20
491,21
491,22
491,23
491,24
491,25
491,26
491,27
491,28
491,29
491,30
491,31
491,32
491,34
491,36
491,38
491,39
491,40
491,43
491,44
491,46
491,51
491,52
4155,1
4155,2
4155,3
4155,4
4155,5
4155,6
4155,7
4155,8
4155,9
4155,10
4155,11
4155,12
4155,13
4155,14
4155,15
4155,16
4155,17
4155,18
4155,19
4155,20
4155,21
4155,22
4155,23
4155,24
4155,25
4155,26
4155,27
4155,28
4155,29
4155,30
4155,31
4155,33
4155,34
4155,35
4155,36
4155,37
4155,38
4155,39
4155,41
4155,42
4155,43
4155,44
4155,50
4155,52
4155,53
